ta51 spt 3750

| |0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|
|31|1900|2919|3017|3108|3138|3173|3202|3282|3381|3406|3459|3508|3605|3639|3737|
|32|0|328|436|620|722|766|880|1054|1220|1339|1628|1777|1816|1861|1905|
|33|0|15|82|221|363|444|492|559|656|680|740|813|933|959|1069|
|34|1808|2020|2145|2216|2224|2241|2368|2381|2426|2504|2540|2613|2680|2749|2835|
|35|70|183|219|268|349|390|1050|1405|1867|2352|2467|2539|2615|2762|2806|
|36|0|130|315|441|526|613|713|785|876|939|1627|1719|1785|1914|1999|
|37|49|158|236|443|610|1436|1536|1557|1679|2093|2185|2259|2433|2473|2681|
|38|50|225|299|498|605|631|693|796|1542|1648|1750|2288|2372|2420|2520|
|39|665|790|820|881|917|1240|1418|1497|1545|1578|1691|1791|2027|2114|2269|
|40|0|116|354|558|679|981|1133|1225|1280|2142|2271|2372|2443|2520|2575|
|41|120|266|312|505|609|930|1152|1290|1319|1391|1459|1529|1540|1575|1590|
|42|5|36|74|124|184|196|256|307|751|1267|1376|1512|1535|1590|1657|
|43|646|834|979|1137|1258|1340|1379|1489|1591|1672|1713|1838|2333|2428|2503|
|44|27|162|240|333|377|623|698|777|956|1047|1168|1240|1417|1551|1590|
|45|622|780|832|907|942|1089|1339|1375|1547|1659|1759|1861|1874|2035|2081|
|46|1810|2055|2191|2250|2401|2446|2474|2595|2700|2795|2830|2835|2878|2909|2989|
|47|54|307|435|519|558|696|835|891|1015|1294|1393|1411|1451|1710|1952|
|48|0|164|248|326|462|541|764|869|916|986|1041|1373|1483|1508|1795|
|49|0|9|202|346|412|488|563|698|735|817|1097|1300|1477|1600|1640|

--------------------------
ta51 lpt 3852

| |0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|
|0|576|632|1138|1855|1944|1986|2050|2203|2326|2364|3291|3337|3421|3481|3493|
|1|128|1070|1166|1318|1415|1533|1980|2007|2144|2488|2520|2652|2691|2853|2925|
|2|752|767|859|958|1035|1261|1509|1539|2644|3118|3194|3274|3336|3405|3426|
|3|1237|1311|1409|1536|1633|1730|1743|1859|1929|2058|2173|2270|2337|2427|2757|
|4|52|156|278|421|519|549|601|1773|1834|1917|2011|2082|2187|2303|3568|
|5|311|355|421|767|813|834|858|1017|1478|1529|1839|1966|2050|2109|2235|
|6|73|164|390|435|727|740|1028|1129|1917|2309|2337|2696|2756|2854|2943|
|7|1023|1060|1113|1214|1955|2752|2829|2905|2931|3041|3118|3379|3414|3479|3554|
|8|495|690|731|1539|2346|2364|2400|2443|2685|2711|2734|2780|2850|3191|3244|
|9|0|79|406|1337|1367|1460|1753|1919|1939|2138|2204|2736|2981|3018|3610|
|10|549|739|886|1164|1208|2731|2843|2888|2968|2992|3079|3127|3172|3256|3637|
|11|0|599|671|819|834|888|1069|1073|1166|1199|1234|1320|1399|1446|2126|
|12|0|92|159|217|342|429|1565|1604|1702|1793|1884|2290|2360|2414|2470|
|13|744|1131|1948|2242|2443|2510|2549|2666|2773|2843|2908|2986|3079|3159|3200|
|14|81|389|445|596|1762|1976|2073|2134|2452|2470|2580|2644|2650|2717|2813|
|15|159|223|385|481|532|551|755|820|908|919|1258|1286|1406|1778|1780|
|16|963|1050|1167|1284|1422|1579|1656|1769|2020|2037|2137|2665|2683|2774|2854|
|17|222|703|739|873|881|961|1052|1113|1208|1277|1303|1736|1780|1825|1826|
|18|89|779|993|1038|1112|1157|1526|1702|1716|1747|1951|1981|2076|2527|2630|
|19|133|232|447|1768|1800|1890|1989|2007|2179|2423|2472|2510|2554|2575|3244|
|20|0|411|510|594|692|806|886|951|1054|1138|1260|1339|1415|1588|1612|
|21|1237|1478|1574|1625|1633|1734|1861|1891|2062|2195|2247|2403|2544|2635|2918|
|22|400|447|479|589|671|924|993|1099|1167|1582|1780|2615|2644|2664|3530|
|23|178|271|535|632|903|919|1042|1312|2756|2765|2853|3251|3285|3318|3449|
|24|0|125|184|299|387|467|482|551|1270|1496|1526|1574|2701|2717|2888|
|25|0|281|1390|1422|1923|2005|2462|2470|2515|2644|2687|2801|2850|3194|3251|
|26|1627|1664|1793|2264|2365|2472|2554|2610|2905|2968|3129|3222|3274|3325|3391|
|27|91|182|278|303|387|507|676|747|797|820|886|1014|1939|2037|2050|
|28|0|355|371|435|716|748|886|941|998|1052|1219|1273|1349|1427|1521|
|29|63|213|243|452|519|1618|1627|1688|1890|2063|2126|2207|2289|2360|2579|
|30|146|173|341|389|544|591|872|1009|1150|1164|1296|1312|2427|2452|2610|
|31|0|124|222|313|484|698|808|951|1125|1150|1414|1475|1572|1702|1848|
|32|1444|1486|1573|1656|2339|2352|2480|2544|2649|2743|2815|2898|3404|3449|3454|
|33|271|731|777|837|980|1034|1202|1260|1314|2309|2354|2427|2683|2739|2815|
|34|0|95|243|1009|1017|1033|1594|1716|1919|2277|2536|2585|3018|3052|3336|
|35|99|187|223|365|1679|1688|1813|1902|2000|2101|2240|2289|2366|2465|2503|
|36|351|430|550|659|703|770|907|981|1241|1273|1339|2742|2752|2925|3032|
|37|78|367|445|532|594|711|1286|1375|1460|1572|2288|2357|3490|3530|3550|
|38|260|937|980|1077|1639|1680|1902|2005|2081|2179|2255|2270|2379|2427|2888|
|39|0|1589|2717|3303|3306|3331|3426|3479|3501|3532|3550|3647|3687|3753|3833|
|40|371|564|659|787|885|954|1042|1129|1295|1345|1543|1579|1986|2334|2352|
|41|80|182|1200|1237|1407|1486|1551|1890|2574|2615|2622|2875|2882|3595|3610|
|42|971|1031|1148|1248|1277|1314|1364|1446|1552|1631|1716|1833|1854|1866|1876|
|43|0|89|187|303|1157|1262|1331|1347|1625|1683|1698|1761|1834|2201|2240|
|44|0|271|342|1607|1625|2001|2135|2235|2313|2403|2465|2687|2734|2829|2986|
|45|0|519|588|1367|1390|1473|1819|1863|1944|2204|2451|3624|3637|3725|3763|
|46|92|212|341|390|467|499|636|716|811|948|1272|1277|1415|1529|2174|
|47|0|165|273|885|924|1023|1073|1138|1531|1728|1844|1866|1941|2005|2317|
|48|92|559|632|825|872|973|1100|1199|1463|2327|2447|2513|3278|3337|3404|
|49|590|599|749|813|1033|1107|1354|2582|2611|2813|2943|3041|3159|3256|3287|

--------------------------
ta51 geneticJ 3465

| |0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|
|0|350|383|462|583|668|741|949|1006|1076|1126|1151|1250|1431|1491|1577|
|1|109|406|488|624|743|786|858|909|988|1155|1229|1342|1375|2021|2093|
|2|0|32|202|1028|1199|1308|1427|1472|1612|1658|1943|2009|2149|2183|2204|
|3|885|1213|1312|1594|1734|1760|1825|1915|2035|2302|2567|2672|2754|2913|3006|
|4|52|84|805|978|1079|1137|1696|1860|1867|1978|2276|2347|2399|2449|3213|
|5|145|258|324|352|400|542|566|594|657|688|1237|1356|1730|1946|2085|
|6|197|309|364|413|529|794|894|905|982|1754|1789|1866|1937|2445|2534|
|7|1039|1054|1106|1288|1379|1413|1458|1534|1559|1872|1949|2090|2130|2176|2271|
|8|155|228|269|357|383|469|499|679|980|1140|1183|1205|1418|1475|1651|
|9|0|79|92|448|516|632|834|932|959|1184|1275|1356|1865|1918|1971|
|10|837|1833|1878|2591|2623|2759|2913|2958|3038|3062|3149|3197|3296|3380|3442|
|11|189|1026|1043|1194|1406|1944|2305|2326|2459|2492|2544|2704|3166|3213|3296|
|12|68|161|294|332|445|550|693|929|1139|1585|1676|1700|2043|2134|2145|
|13|1044|1099|1159|1170|1237|1273|1502|1632|1739|1854|1893|1993|2125|2230|2271|
|14|235|318|379|469|559|571|727|783|1583|1601|1675|1937|2023|2068|2250|
|15|777|847|920|988|1039|1073|1222|1309|1682|1765|1860|1888|1949|2019|2090|
|16|955|1163|1420|1760|2010|2151|2202|2332|2683|2898|3061|3089|3138|3194|3274|
|17|248|351|614|712|767|1033|1193|1311|1462|1564|1651|1739|1994|2309|2323|
|18|1022|1130|1170|1225|1389|1528|1703|1728|1760|1982|2694|2996|3040|3138|3185|
|19|55|514|590|688|704|794|931|949|1020|1081|2004|2158|2562|2583|2661|
|20|154|1104|1130|1260|1394|1479|1604|1689|1750|1834|1882|1976|2043|2120|2181|
|21|247|322|786|869|898|1039|1188|1303|1334|1728|1783|1860|1966|2367|2449|
|22|15|182|805|1127|1229|1286|1321|1494|1577|1737|1839|1964|2050|2070|2164|
|23|268|421|499|566|632|721|952|1375|1417|2093|2181|2242|2269|2302|2449|
|24|104|221|503|717|805|1623|1669|1737|1866|1915|1975|2294|2356|2538|2622|
|25|124|199|376|401|704|782|1257|1286|1331|1471|1534|2388|2422|2534|2592|
|26|2145|2163|2252|2303|2399|2503|2579|2635|2720|2773|2851|2913|2965|3016|3082|
|27|181|280|376|401|565|708|826|1601|1786|1809|2070|2173|2685|2719|2764|
|28|133|269|349|413|516|548|578|782|834|1265|1390|2248|2339|2492|2538|
|29|6|831|883|987|1638|1721|1730|1786|1860|1946|2009|2223|2360|2447|2708|
|30|0|11|861|1410|1434|1479|2011|2376|2431|2474|2544|2574|2661|2686|2827|
|31|2042|2202|2303|2419|2583|2657|2686|2826|2925|2950|3003|3194|3291|3325|3423|
|32|921|1015|1087|1182|2725|2736|2866|2950|2993|3058|3291|3364|3397|3442|3447|
|33|0|331|352|403|478|729|847|1045|1318|1362|1402|1902|1946|1964|2147|
|34|73|899|1000|1031|1089|1102|1209|2138|2183|2266|2641|2831|2898|3089|3246|
|35|698|896|932|978|1097|1106|1331|1420|1499|1609|2396|2485|2605|2735|2796|
|36|0|90|208|660|1514|1568|1623|1689|1774|1806|1872|2081|2105|2320|2404|
|37|0|121|202|269|335|462|605|657|704|1491|1583|1604|3021|3084|3149|
|38|100|204|324|500|674|703|759|845|1404|1556|1791|2490|2574|2635|2700|
|39|22|162|185|199|233|491|618|671|712|840|892|993|1089|1250|1750|
|40|76|165|228|600|710|759|1102|1393|1445|1457|1685|1769|1805|2007|2030|
|41|0|200|272|364|445|521|586|674|888|1327|1388|1431|1562|3006|3021|
|42|0|1445|1531|1552|1691|1715|1782|1985|2074|2389|2509|2699|2766|3040|3050|
|43|0|89|285|432|652|738|1110|1126|1185|1242|1280|2652|2732|2827|2866|
|44|0|62|133|395|473|585|699|843|898|1001|1027|1162|1185|1310|1336|
|45|9|387|485|629|652|899|979|1015|1279|1552|1612|1676|2042|2142|2204|
|46|0|185|1030|1106|1197|1581|1950|2181|2251|2347|2370|2375|2561|2592|2686|
|47|0|284|351|555|594|694|843|945|1089|1140|1230|1254|1330|1401|1633|
|48|0|89|162|285|332|864|1809|1899|1945|2071|2090|2126|2269|2300|2370|
|49|0|9|97|1136|1186|1205|1240|1692|1731|1798|2083|2226|2283|2394|2621|

--------------------------
